Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-08,,,
Horizontal Delay,0,,,
Sample Interval,4e-10,,,
Record Length,1000,,,
Gating,0.1% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,0.2,0.2,0.2
Vertical Position,2.92,1.1,-0.76,-2.4
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
1.000e-08,-0.68,-0.02,-0.04,0.12
1.040e-08,-0.64,-0.012,-0.04,0.112
1.080e-08,-0.64,-0.004,-0.032,0.112
1.120e-08,-0.64,-0.012,-0.024,0.112
1.160e-08,-0.68,-0.004,-0.024,0.104
1.200e-08,-0.64,-0.004,-0.016,0.104
1.240e-08,-0.68,0.004,-0.024,0.112
1.280e-08,-0.68,0.012,-0.024,0.12
1.320e-08,-0.68,0.02,-0.04,0.12
1.360e-08,-0.68,0.028,-0.04,0.104
1.400e-08,-0.68,-0.004,-0.048,0.104
1.440e-08,-0.68,0.004,-0.056,0.104
1.480e-08,-0.68,-0.004,-0.04,0.104
1.520e-08,-0.68,0.004,-0.04,0.104
1.560e-08,-0.68,0.004,-0.024,0.096
1.600e-08,-0.68,-0.004,-0.04,0.096
1.640e-08,-0.64,-0.012,-0.032,0.104
1.680e-08,-0.68,-0.004,-0.048,0.096
1.720e-08,-0.68,-0.004,-0.04,0.096
1.760e-08,-0.68,-0.004,-0.048,0.088
1.800e-08,-0.64,-0.012,-0.048,0.088
1.840e-08,-0.68,-0.012,-0.056,0.08
1.880e-08,-0.68,-0.02,-0.048,0.072
1.920e-08,-0.68,-0.02,-0.04,0.072
1.960e-08,-0.64,-0.012,-0.04,0.08
2.000e-08,-0.68,-0.012,-0.04,0.08
2.040e-08,-0.64,-0.02,-0.04,0.096
2.080e-08,-0.64,-0.028,-0.032,0.088
2.120e-08,-0.64,-0.028,-0.032,0.088
2.160e-08,-0.68,-0.02,-0.032,0.08
2.200e-08,-0.64,0.004,-0.024,0.096
2.240e-08,-0.68,0.004,-0.024,0.096
2.280e-08,-0.68,0.012,-0.016,0.088
2.320e-08,-0.64,0.004,-0.024,0.088
2.360e-08,-0.64,-0.004,-0.024,0.088
2.400e-08,-0.68,-0.004,-0.024,0.096
2.440e-08,-0.68,0.004,-0.016,0.104
2.480e-08,-0.64,0.004,-0.016,0.096
2.520e-08,-0.64,0.004,-0.008,0.088
2.560e-08,-0.68,0.004,-0.008,0.088
2.600e-08,-0.68,-0.004,-0.024,0.096
2.640e-08,-0.64,-0.012,-0.032,0.096
2.680e-08,-0.68,0.004,-0.032,0.096
2.720e-08,-0.72,0.012,-0.032,0.088
2.760e-08,-0.68,0.012,-0.04,0.072
2.800e-08,-0.68,0.004,-0.04,0.08
2.840e-08,-0.64,-0.012,-0.04,0.088
2.880e-08,-0.68,-0.02,-0.04,0.08
2.920e-08,-0.64,-0.004,-0.04,0.08
2.960e-08,-0.68,0.004,-0.032,0.088
3.000e-08,-0.64,-0.004,-0.032,0.088
3.040e-08,-0.64,-0.02,-0.048,0.08
3.080e-08,-0.64,-0.012,-0.056,0.072
3.120e-08,-0.68,-0.012,-0.056,0.072
3.160e-08,-0.68,-0.012,-0.048,0.064
3.200e-08,-0.68,-0.012,-0.032,0.072
3.240e-08,-0.68,-0.012,-0.016,0.08
3.280e-08,-0.68,-0.004,-0.024,0.072
3.320e-08,-0.68,0.004,-0.032,0.064
3.360e-08,-0.68,0.004,-0.032,0.072
3.400e-08,-0.64,0.004,-0.024,0.08
3.440e-08,-0.68,0.012,-0.032,0.096
3.480e-08,-0.64,0.012,-0.04,0.088
3.520e-08,-0.68,0.004,-0.032,0.088
3.560e-08,-0.64,-0.004,-0.032,0.088
3.600e-08,-0.68,-0.004,-0.032,0.088
3.640e-08,-0.68,-0.004,-0.032,0.088
3.680e-08,-0.68,-0.004,-0.032,0.08
3.720e-08,-0.68,0.004,-0.04,0.08
3.760e-08,-0.68,-0.004,-0.032,0.08
3.800e-08,-0.64,-0.012,-0.032,0.072
3.840e-08,-0.68,-0.004,-0.032,0.072
3.880e-08,-0.68,0.004,-0.048,0.08
3.920e-08,-0.68,0.004,-0.04,0.08
3.960e-08,-0.64,-0.004,-0.032,0.08
4.000e-08,-0.72,-0.004,-0.032,0.08
4.040e-08,-0.68,-0.02,-0.032,0.072
4.080e-08,-0.68,-0.02,-0.04,0.072
4.120e-08,-0.68,-0.004,-0.04,0.08
4.160e-08,-0.64,-0.004,-0.04,0.08
4.200e-08,-0.68,-0.012,-0.024,0.08
4.240e-08,-0.68,-0.012,-0.032,0.08
4.280e-08,-0.64,-0.004,-0.032,0.088
4.320e-08,-0.68,-0.012,-0.024,0.096
4.360e-08,-0.68,0.004,-0.016,0.096
4.400e-08,-0.68,0.004,-0.016,0.088
4.440e-08,-0.64,0.004,-0.016,0.096
4.480e-08,-0.68,0.012,-0.016,0.088
4.520e-08,-0.64,0.012,-0.024,0.096
4.560e-08,-0.64,0.004,-0.032,0.096
4.600e-08,-0.68,0.012,-0.024,0.096
4.640e-08,-0.64,0.012,-0.024,0.088
4.680e-08,-0.64,0.012,-0.024,0.08
4.720e-08,-0.64,0.004,-0.024,0.064
4.760e-08,-0.68,0.004,-0.024,0.064
4.800e-08,-0.64,-0.004,-0.032,0.08
4.840e-08,-0.68,-0.004,-0.032,0.088
4.880e-08,-0.68,0.012,-0.024,0.096
4.920e-08,-0.68,0.012,-0.024,0.096
4.960e-08,-0.68,-0.004,-0.032,0.088
5.000e-08,-0.68,0.004,-0.048,0.088
5.040e-08,-0.64,-0.004,-0.048,0.08
5.080e-08,-0.68,-0.012,-0.032,0.08
5.120e-08,-0.68,-0.012,-0.04,0.08
5.160e-08,-0.68,-0.012,-0.04,0.072
5.200e-08,-0.64,-0.012,-0.048,0.064
5.240e-08,-0.68,-0.012,-0.032,0.064
5.280e-08,-0.68,-0.004,-0.024,0.072
5.320e-08,-0.68,-0.004,-0.016,0.08
5.360e-08,-0.64,0.004,-0.016,0.08
5.400e-08,-0.64,0.004,-0.024,0.08
5.440e-08,-0.68,0.004,-0.024,0.072
5.480e-08,-0.68,-0.004,-0.024,0.08
5.520e-08,-0.68,0.004,-0.024,0.088
5.560e-08,-0.68,0.012,-0.024,0.08
5.600e-08,-0.64,0.012,-0.024,0.088
5.640e-08,-0.68,0.012,-0.008,0.088
5.680e-08,-0.72,0.012,-0.024,0.088
5.720e-08,-0.68,-0.004,-0.024,0.088
5.760e-08,-0.68,-0.004,-0.024,0.072
5.800e-08,-0.64,0.004,-0.024,0.064
5.840e-08,-0.56,0.004,-0.024,0.072
5.880e-08,-0.44,-0.004,-0.024,0.072
5.920e-08,-0.28,-0.012,-0.04,0.072
5.960e-08,-0.12,-0.012,-0.04,0.072
6.000e-08,0,-0.012,-0.04,0.08
6.040e-08,0,-0.004,-0.04,0.088
6.080e-08,0,-0.004,-0.04,0.088
6.120e-08,-0.04,0.004,-0.04,0.08
6.160e-08,-0.04,0.004,-0.024,0.08
6.200e-08,-0.04,-0.004,-0.024,0.08
6.240e-08,0,-0.012,-0.032,0.08
6.280e-08,-0.04,-0.012,-0.048,0.088
6.320e-08,-0.04,-0.004,-0.032,0.088
6.360e-08,-0.04,0.004,-0.016,0.08
6.400e-08,-0.04,0.004,-0.008,0.072
6.440e-08,-0.04,0.012,-0.016,0.08
6.480e-08,-0.04,-0.004,-0.016,0.088
6.520e-08,0,0.012,-0.016,0.088
6.560e-08,0,0.012,-0.008,0.088
6.600e-08,0,0.012,-0.016,0.072
6.640e-08,-0.04,-0.004,-0.016,0.072
6.680e-08,0,0.004,-0.024,0.072
6.720e-08,0,0.004,-0.032,0.08
6.760e-08,-0.04,0.012,-0.032,0.08
6.800e-08,-0.04,0.012,-0.032,0.08
6.840e-08,-0.04,0.004,-0.04,0.088
6.880e-08,-0.04,-0.012,-0.04,0.08
6.920e-08,-0.04,-0.02,-0.04,0.064
6.960e-08,-0.04,-0.02,-0.04,0.056
7.000e-08,-0.04,-0.012,-0.032,0.064
7.040e-08,0,-0.004,-0.04,0.072
7.080e-08,0,-0.004,-0.04,0.08
7.120e-08,0,-0.012,-0.04,0.072
7.160e-08,-0.04,-0.004,-0.04,0.072
7.200e-08,-0.04,-0.012,-0.04,0.064
7.240e-08,-0.04,-0.012,-0.032,0.064
7.280e-08,0,0.004,-0.032,0.064
7.320e-08,-0.04,-0.004,-0.024,0.064
7.360e-08,-0.04,-0.012,-0.016,0.064
7.400e-08,-0.04,0.004,-0.016,0.08
7.440e-08,-0.04,0.004,-0.024,0.08
7.480e-08,0,-0.004,-0.032,0.088
7.520e-08,-0.04,-0.004,-0.032,0.088
7.560e-08,-0.04,-0.004,-0.024,0.08
7.600e-08,-0.04,0.004,-0.024,0.072
7.640e-08,-0.04,-0.004,-0.024,0.072
7.680e-08,0,0.004,-0.024,0.08
7.720e-08,0,-0.004,-0.024,0.08
7.760e-08,-0.04,-0.02,-0.024,0.088
7.800e-08,-0.04,-0.012,-0.024,0.088
7.840e-08,-0.04,-0.012,-0.032,0.08
7.880e-08,-0.04,-0.012,-0.04,0.072
7.920e-08,0,-0.012,-0.04,0.072
7.960e-08,0,-0.012,-0.04,0.072
8.000e-08,0,-0.012,-0.04,0.064
8.040e-08,-0.04,-0.012,-0.032,0.064
8.080e-08,-0.04,-0.004,-0.04,0.064
8.120e-08,0,-0.004,-0.04,0.056
8.160e-08,-0.04,-0.004,-0.024,0.064
8.200e-08,-0.04,0.004,-0.016,0.072
8.240e-08,0,0.004,-0.032,0.072
8.280e-08,-0.04,0.004,-0.032,0.072
8.320e-08,-0.08,0.004,-0.032,0.072
8.360e-08,0,0.012,-0.024,0.064
8.400e-08,-0.04,0.004,-0.032,0.08
8.440e-08,-0.04,0.02,-0.024,0.08
8.480e-08,-0.04,0.012,-0.024,0.08
8.520e-08,0,0.004,-0.008,0.08
8.560e-08,-0.04,0.004,-0.008,0.08
8.600e-08,0,0.012,-0.016,0.08
8.640e-08,-0.04,0.004,-0.016,0.072
8.680e-08,0,-0.004,-0.024,0.08
8.720e-08,-0.04,-0.004,-0.032,0.072
8.760e-08,0,-0.012,-0.04,0.064
8.800e-08,-0.04,-0.012,-0.032,0.064
8.840e-08,-0.04,-0.02,-0.04,0.064
8.880e-08,-0.04,-0.028,-0.04,0.064
8.920e-08,-0.04,-0.02,-0.032,0.064
8.960e-08,-0.04,-0.012,-0.048,0.072
9.000e-08,0,-0.012,-0.04,0.08
9.040e-08,0,-0.02,-0.04,0.072
9.080e-08,-0.04,-0.012,-0.048,0.072
9.120e-08,-0.04,-0.02,-0.048,0.064
9.160e-08,-0.04,-0.02,-0.04,0.064
9.200e-08,-0.04,-0.004,-0.024,0.072
9.240e-08,-0.04,0.004,-0.024,0.064
9.280e-08,-0.04,-0.012,-0.008,0.072
9.320e-08,0,-0.004,-0.008,0.072
9.360e-08,-0.08,0.012,-0.016,0.072
9.400e-08,-0.04,0.004,-0.008,0.08
9.440e-08,0,0.004,0,0.08
9.480e-08,-0.04,0.02,0,0.08
9.520e-08,-0.04,0.004,-0.016,0.072
9.560e-08,-0.04,0.004,-0.016,0.072
9.600e-08,-0.04,0.02,-0.016,0.072
9.640e-08,-0.04,0.02,-0.016,0.08
9.680e-08,0,0.02,-0.008,0.08
9.720e-08,-0.04,0.012,-0.024,0.088
9.760e-08,-0.08,0.004,-0.04,0.088
9.800e-08,-0.04,-0.004,-0.04,0.08
9.840e-08,-0.04,0.012,-0.032,0.064
9.880e-08,-0.04,-0.004,-0.048,0.064
9.920e-08,-0.04,-0.012,-0.032,0.072
9.960e-08,-0.04,0.004,-0.04,0.08
1.000e-07,-0.04,0.004,-0.048,0.072
1.004e-07,-0.04,-0.004,-0.04,0.08
1.008e-07,-0.04,-0.012,-0.048,0.072
1.012e-07,0,-0.004,-0.048,0.072
1.016e-07,-0.04,-0.02,-0.04,0.072
1.020e-07,0,-0.02,-0.04,0.064
1.024e-07,-0.04,-0.004,-0.04,0.072
1.028e-07,-0.04,0.004,-0.032,0.072
1.032e-07,-0.04,0.004,-0.024,0.08
1.036e-07,-0.04,0.012,-0.024,0.072
1.040e-07,0,0.004,-0.008,0.088
1.044e-07,0,-0.004,0,0.08
1.048e-07,0,0.004,-0.024,0.08
1.052e-07,-0.04,0.004,-0.024,0.072
1.056e-07,-0.04,0.004,-0.024,0.064
1.060e-07,-0.04,0.004,-0.024,0.064
1.064e-07,-0.04,0.012,-0.032,0.072
1.068e-07,0,0.012,-0.024,0.072
1.072e-07,-0.04,0.004,-0.032,0.08
1.076e-07,-0.04,0.004,-0.032,0.064
1.080e-07,0,-0.004,-0.032,0.064
1.084e-07,0,0.004,-0.04,0.064
1.088e-07,0,-0.004,-0.032,0.064
1.092e-07,-0.04,-0.004,-0.024,0.064
1.096e-07,0,-0.012,-0.032,0.056
1.100e-07,0,-0.004,-0.04,0.056
1.104e-07,-0.04,-0.012,-0.04,0.056
1.108e-07,-0.04,-0.02,-0.032,0.056
1.112e-07,-0.04,-0.02,-0.024,0.056
1.116e-07,0,-0.02,-0.032,0.048
1.120e-07,0,-0.02,-0.032,0.048
1.124e-07,0,-0.012,-0.032,0.056
1.128e-07,-0.04,-0.012,-0.032,0.064
1.132e-07,-0.04,-0.012,-0.024,0.072
1.136e-07,-0.04,-0.012,-0.024,0.064
1.140e-07,0,-0.004,-0.008,0.064
1.144e-07,-0.04,0.004,-0.016,0.072
1.148e-07,-0.04,0.004,-0.016,0.08
1.152e-07,-0.04,0.012,-0.024,0.088
1.156e-07,0,0.012,-0.016,0.08
1.160e-07,0,0.012,-0.016,0.08
1.164e-07,0,0.012,-0.016,0.08
1.168e-07,0,0.004,-0.016,0.072
1.172e-07,-0.04,-0.004,-0.024,0.08
1.176e-07,-0.04,0.004,-0.04,0.072
1.180e-07,0,0.004,-0.04,0.064
1.184e-07,-0.04,-0.004,-0.032,0.064
1.188e-07,-0.04,-0.004,-0.032,0.064
1.192e-07,-0.04,-0.004,-0.04,0.064
1.196e-07,0,-0.012,-0.032,0.072
1.200e-07,-0.04,-0.012,-0.04,0.072
1.204e-07,-0.04,-0.012,-0.032,0.072
1.208e-07,-0.04,-0.02,-0.024,0.072
1.212e-07,-0.04,-0.02,-0.024,0.072
1.216e-07,-0.04,-0.02,-0.04,0.064
1.220e-07,-0.04,-0.012,-0.04,0.056
1.224e-07,0,-0.012,-0.032,0.064
1.228e-07,0,-0.004,-0.04,0.056
1.232e-07,-0.04,-0.004,-0.032,0.064
1.236e-07,0,0.004,-0.024,0.064
1.240e-07,-0.04,0.012,-0.016,0.064
1.244e-07,0,0.012,0,0.072
1.248e-07,-0.04,0.004,0,0.064
1.252e-07,-0.04,-0.004,0,0.064
1.256e-07,-0.04,0.004,-0.008,0.064
1.260e-07,-0.04,0.004,-0.008,0.08
1.264e-07,0,-0.004,-0.016,0.08
1.268e-07,0,0.004,-0.016,0.08
1.272e-07,-0.04,0.004,-0.024,0.08
1.276e-07,0,0.012,-0.024,0.08
1.280e-07,-0.04,0.012,-0.024,0.08
1.284e-07,0,0.004,-0.032,0.08
1.288e-07,-0.04,0.004,-0.032,0.08
1.292e-07,-0.04,0.004,-0.032,0.072
1.296e-07,-0.04,0.004,-0.032,0.064
1.300e-07,-0.04,-0.012,-0.032,0.064
1.304e-07,-0.04,-0.004,-0.032,0.056
1.308e-07,-0.04,-0.012,-0.04,0.056
1.312e-07,-0.04,-0.02,-0.04,0.056
1.316e-07,0,-0.02,-0.032,0.056
1.320e-07,-0.04,-0.028,-0.032,0.048
1.324e-07,-0.04,-0.02,-0.032,0.048
1.328e-07,-0.04,-0.02,-0.04,0.056
1.332e-07,-0.04,-0.012,-0.032,0.064
1.336e-07,0,-0.02,-0.016,0.072
1.340e-07,0,-0.02,-0.016,0.072
1.344e-07,0,-0.012,-0.024,0.064
1.348e-07,-0.04,-0.012,-0.016,0.064
1.352e-07,-0.04,-0.004,-0.024,0.08
1.356e-07,0,0.004,-0.016,0.08
1.360e-07,0,-0.004,-0.016,0.08
1.364e-07,0,0.004,-0.024,0.08
1.368e-07,-0.04,0.012,-0.024,0.08
1.372e-07,-0.04,0.012,-0.024,0.072
1.376e-07,-0.04,0.012,-0.032,0.064
1.380e-07,0,0.012,-0.024,0.056
1.384e-07,0,0.012,-0.032,0.056
1.388e-07,-0.04,0.004,-0.024,0.064
1.392e-07,0,0.012,-0.032,0.064
1.396e-07,0,0.02,-0.04,0.072
1.400e-07,0,0.012,-0.04,0.064
1.404e-07,0,0.012,-0.032,0.056
1.408e-07,0,-0.004,-0.032,0.064
1.412e-07,-0.04,-0.012,-0.032,0.056
1.416e-07,-0.04,-0.012,-0.048,0.056
1.420e-07,-0.04,-0.004,-0.04,0.056
1.424e-07,-0.04,-0.012,-0.032,0.064
1.428e-07,0,-0.012,-0.04,0.064
1.432e-07,-0.08,-0.012,-0.032,0.064
1.436e-07,0,-0.004,-0.032,0.072
1.440e-07,0,-0.004,-0.032,0.064
1.444e-07,0,0.004,-0.04,0.072
1.448e-07,0,0.004,-0.032,0.064
1.452e-07,0,-0.004,-0.016,0.072
1.456e-07,-0.04,-0.004,-0.016,0.08
1.460e-07,0,0.004,-0.008,0.064
1.464e-07,-0.04,0.004,-0.016,0.064
1.468e-07,-0.04,-0.004,-0.024,0.064
1.472e-07,-0.04,-0.004,-0.016,0.072
1.476e-07,-0.04,-0.004,-0.008,0.072
1.480e-07,0,-0.004,-0.016,0.072
1.484e-07,-0.04,0.012,-0.024,0.064
1.488e-07,0,0.004,-0.016,0.064
1.492e-07,0,-0.004,-0.024,0.072
1.496e-07,-0.04,0.004,-0.016,0.072
1.500e-07,-0.04,-0.004,-0.024,0.072
1.504e-07,-0.08,-0.004,-0.032,0.072
1.508e-07,0,-0.004,-0.04,0.072
1.512e-07,-0.04,-0.012,-0.04,0.056
1.516e-07,-0.04,-0.012,-0.032,0.056
1.520e-07,0,-0.012,-0.032,0.056
1.524e-07,0,-0.02,-0.04,0.064
1.528e-07,-0.04,-0.028,-0.032,0.056
1.532e-07,-0.04,-0.036,-0.032,0.064
1.536e-07,0,-0.02,-0.032,0.064
1.540e-07,0,-0.02,-0.032,0.064
1.544e-07,-0.04,-0.012,-0.032,0.056
1.548e-07,0,-0.004,-0.032,0.056
1.552e-07,-0.04,-0.012,-0.032,0.064
1.556e-07,0,-0.012,-0.032,0.064
1.560e-07,0,-0.004,-0.008,0.064
1.564e-07,0,0.012,-0.008,0.064
1.568e-07,0,0.02,-0.016,0.048
1.572e-07,0,0.028,-0.016,0.056
1.576e-07,0,0.028,-0.008,0.056
1.580e-07,-0.04,0.012,-0.008,0.072
1.584e-07,0,0.004,-0.008,0.072
1.588e-07,0,0.012,-0.016,0.08
1.592e-07,-0.04,0.02,-0.024,0.064
1.596e-07,-0.04,0.02,-0.008,0.064
1.600e-07,-0.04,0.012,-0.024,0.064
1.604e-07,-0.04,0.012,-0.024,0.056
1.608e-07,-0.04,0.004,-0.024,0.064
1.612e-07,0,-0.004,-0.016,0.056
1.616e-07,-0.04,-0.028,-0.016,0.064
1.620e-07,0,-0.028,-0.024,0.056
1.624e-07,-0.04,-0.028,-0.048,0.056
1.628e-07,0,-0.02,-0.04,0.056
1.632e-07,0,-0.012,-0.04,0.04
1.636e-07,-0.04,-0.012,-0.032,0.04
1.640e-07,0,-0.012,-0.04,0.04
1.644e-07,-0.04,-0.012,-0.032,0.056
1.648e-07,0,-0.012,-0.032,0.056
1.652e-07,0,-0.004,-0.024,0.056
1.656e-07,0,-0.004,-0.024,0.064
1.660e-07,0,0.004,-0.024,0.072
1.664e-07,-0.04,0.012,-0.024,0.072
1.668e-07,0,0.012,-0.008,0.072
1.672e-07,0,0.012,-0.016,0.056
1.676e-07,0,0.012,-0.008,0.056
1.680e-07,0,0.012,-0.016,0.056
1.684e-07,-0.04,0.02,-0.008,0.08
1.688e-07,-0.04,0.02,0.008,0.088
1.692e-07,-0.04,0.028,0.008,0.088
1.696e-07,-0.04,0.012,0,0.064
1.700e-07,-0.04,0.02,-0.024,0.04
1.704e-07,0,-0.004,-0.032,0.04
1.708e-07,-0.04,-0.02,-0.032,0.048
1.712e-07,-0.04,-0.02,-0.016,0.064
1.716e-07,0,-0.02,-0.008,0.064
1.720e-07,-0.04,-0.012,-0.016,0.072
1.724e-07,0,-0.004,-0.024,0.048
1.728e-07,0,-0.004,-0.032,0.048
1.732e-07,0,-0.02,-0.04,0.04
1.736e-07,-0.04,-0.028,-0.04,0.056
1.740e-07,-0.04,-0.012,-0.032,0.08
1.744e-07,0,-0.004,-0.024,0.08
1.748e-07,0,0.004,-0.024,0.072
1.752e-07,0,-0.004,-0.016,0.056
1.756e-07,-0.04,-0.02,-0.032,0.048
1.760e-07,0,-0.028,-0.032,0.056
1.764e-07,0,-0.02,-0.024,0.056
1.768e-07,-0.04,-0.012,-0.024,0.064
1.772e-07,0,0.012,-0.024,0.08
1.776e-07,-0.04,0.012,-0.024,0.072
1.780e-07,0,0.012,-0.024,0.056
1.784e-07,0,-0.004,-0.032,0.04
1.788e-07,-0.04,-0.004,-0.04,0.048
1.792e-07,-0.04,0.004,-0.024,0.056
1.796e-07,-0.04,0.012,-0.008,0.064
1.800e-07,0,0.02,-0.008,0.064
1.804e-07,0,0.012,-0.008,0.048
1.808e-07,0,-0.02,-0.024,0.048
1.812e-07,0,-0.02,-0.04,0.056
1.816e-07,-0.04,-0.004,-0.048,0.064
1.820e-07,-0.04,0.004,-0.032,0.064
1.824e-07,-0.04,0.012,-0.016,0.056
1.828e-07,0,0.012,-0.008,0.056
1.832e-07,0,0.004,-0.016,0.056
1.836e-07,0,-0.012,-0.032,0.048
1.840e-07,-0.04,-0.02,-0.032,0.056
1.844e-07,-0.04,-0.02,-0.024,0.056
1.848e-07,-0.04,-0.028,0,0.064
1.852e-07,-0.08,-0.012,0.008,0.064
1.856e-07,-0.04,-0.012,-0.008,0.064
1.860e-07,0,-0.012,-0.016,0.056
1.864e-07,0,-0.02,-0.032,0.064
1.868e-07,-0.04,0.004,-0.032,0.072
1.872e-07,-0.04,0.004,-0.016,0.072
1.876e-07,0,-0.004,-0.008,0.064
1.880e-07,0,-0.004,0,0.064
1.884e-07,-0.04,-0.004,-0.008,0.064
1.888e-07,-0.04,-0.012,-0.024,0.072
1.892e-07,-0.04,-0.004,-0.024,0.064
1.896e-07,0,-0.02,-0.016,0.048
1.900e-07,0,-0.02,-0.016,0.048
1.904e-07,-0.04,-0.012,-0.024,0.064
1.908e-07,-0.04,-0.004,-0.032,0.064
1.912e-07,-0.04,0.004,-0.024,0.048
1.916e-07,0,0.004,-0.024,0.048
1.920e-07,-0.04,-0.004,-0.032,0.04
1.924e-07,-0.04,-0.02,-0.024,0.048
1.928e-07,0,-0.02,-0.008,0.056
1.932e-07,0,-0.012,-0.024,0.056
1.936e-07,0,-0.012,-0.032,0.056
1.940e-07,-0.04,0.004,-0.032,0.064
1.944e-07,-0.04,0.012,-0.024,0.056
1.948e-07,-0.04,-0.004,-0.032,0.04
1.952e-07,0,-0.02,-0.04,0.04
1.956e-07,0,-0.012,-0.032,0.048
1.960e-07,0,-0.004,-0.032,0.056
1.964e-07,-0.04,0.012,-0.008,0.072
1.968e-07,-0.04,0.012,-0.016,0.048
1.972e-07,-0.04,-0.004,-0.024,0.048
1.976e-07,0,-0.02,-0.024,0.048
1.980e-07,0,-0.012,-0.024,0.064
1.984e-07,0,-0.004,-0.024,0.064
1.988e-07,0,-0.004,-0.016,0.064
1.992e-07,-0.04,0.012,-0.016,0.064
1.996e-07,0,0.004,-0.016,0.056

